375 4644 2483,13 10000261750 Jonatan
173 7256 1937,23 10025904779 Sonia
401 1605 1792,83 10026331764 Antonio
400 7005 1691,5 10027593746 Julia
249 4356 159,88 10027885798 Everton
386 3475 784,14 10028591747 Roberta
218 6354 3303,79 10029735700 Adilson
422 3805 2070,52 10029805775 Marlene
439 6679 3708,3 10029964733 Cleiton
467 8436 1644,18 10030732719 Mariana
296 5459 3494,67 10030783704 Davi
433 2341 3257,15 10031437761 Elza
465 2291 1566,57 10031472753 Denilson
234 6151 4081,61 10031809731 Tania
225 1470 3615,44 10032002734 Diego
182 1936 4472,67 10033176779 Roseli
175 3004 3565,59 10035548738 Josue
391 4314 4985,55 10035566710 Amanda
434 5137 2676,81 10036147796 Rogerio
453 5505 3888,1 10036210749 Benedita
220 7125 629,16 10037012720 Claudinei
212 6159 4342,49 10038391775 Nair
232 4738 626,81 10038418720 Tiago
321 2442 2477,75 10038693780 Geovana
470 1474 2633,22 10039797775 Orlando
155 2346 3310,23 10039923746 Veronica
283 6446 1825,89 10040006778 Domingos
350 7782 1005,88 10040710785 Terezinha
463 3381 2973,36 10040836703 Ruan
364 7007 4110,49 10041508734 Sara
343 7999 1124,79 10041546741 Bruno
147 6213 2454,55 10041573714 Raissa
456 2837 2865,2 10041760743 Eder
348 2374 372,06 10042865700 Ingrid
301 8564 3285,11 10042901790 Julio
441 4204 446,96 10043489591 Claudia
332 2313 3772,75 10043782701 Cesar
465 7414 2891,85 10044302720 Yasmin
458 7650 3499,68 10044896760 Valdir
460 1275 546,84 10044973772 Rosane
413 2269 3298,36 10046658734 Flavio
297 4696 1850,84 10046950710 Maria
422 3504 1076,22 10047115734 Rodrigo
287 3807 3339,23 10048844780 Rosilene
451 7162 236,77 10050152793 Natanael
254 5670 3444,32 10050945785 Eliana
293 3637 1403,44 10050987780 Natanael
421 5620 878,06 10051304775 Helena
250 4820 3224,33 10051916703 Josue
337 6866 1011,09 10051940760 Fatima
146 8545 3047,44 10052395766 Leandro
179 6047 959,24 10053991745 Leila
285 7224 2826,1 10054502772 Elton
415 1552 3779,21 10054618720 Lucilene
434 4247 3955,13 10055029787 Junior
327 6785 2234,3 10055465765 Elza
442 1377 972,4 10055511708 Victor
402 6048 458,88 10056269790 Teresinha
150 6539 3461,9 10056467753 Ismael
149 5853 479,7 10056832710 Pamela
472 5254 3026,42 10056972725 Rogerio
347 4004 1356,75 10057394717 Francisca
149 6642 1508,21 10057444757 Reginaldo
150 8218 3248,06 10058736743 Geralda
354 3486 4347,7 10058794786 Leonardo
479 3858 1864,86 10059178760 Rosane
206 4388 509,35 10059221798 Odair
235 6927 3419,8 10060049715 Maiara
380 5705 3789,45 10060383704 Miguel
386 5237 2108,09 10061703753 Marilia
205 4682 1867,37 10062787705 Alberto
199 3130 2675,81 10063204746 Priscila
304 3205 276,4 10063246740 David
412 3585 4149,91 10063821788 Roseli
370 4750 4291,01 10065717791 Artur
173 7897 417,31 10066860709 Simone
391 8385 2109,6 10067189741 Fabiano
435 4153 3223,57 10067687776 Fernanda
260 3430 4871,55 10068058772 Thiago
414 4887 3701,37 10068069707 Maria
177 4766 4863,35 10068420714 Arnaldo
252 5789 4381,47 10068517718 Kelly
421 2287 3863,33 10069264708 Nilton
473 5518 3068,83 10069720720 Alessandra
143 5259 987,85 10070368775 Ronaldo
361 3376 224,58 10070927774 Larissa
298 3192 3486,19 10072381787 Miguel
471 3357 2026,06 10072705787 Naiara
267 7238 4104,12 10073314706 Marco
401 7425 1394,39 10073398705 Rebeca
192 8775 2368,99 10073752720 Jailson
370 7355 4833,07 10075143704 Cristina
194 2317 639,07 10075984768 Alessandro
353 8616 3747,59 10076034704 Mara
458 7460 2111,05 10076565734 Lucas
155 3814 4519,96 10077120744 Vania
389 4722 3269,05 10077471709 Fabricio
350 1742 4022,65 10078231787 Helena
369 6149 2757,61 10078550700 Cristiano
247 5633 4219,63 10078640792 Priscila
201 8129 3535,55 10079192726 Vanderlei
392 2351 266,37 10079925731 Zilda
345 4758 2759,28 10080834701 Breno
425 2704 3357,26 10081037724 Fabiana
325 8551 2199,32 10081313772 Guilherme
270 5689 1112,73 10081321791 Elisangela
391 1630 109,15 10082050791 Bruno
233 8676 1245,58 10082520771 Cecilia
303 2955 2714,85 10082868778 Pablo
313 6413 978,07 10083340734 Cristiane
263 6830 3254,54 10083999736 Vagner
343 3803 4843,04 10084061715 Benedita
477 4337 3878,81 10084088753 Vitor
445 2452 2106,83 10084223715 Tatiana
216 5511 4076,08 10084614749 Jaime
413 4298 3000,86 10084626755 Carolina
156 2505 1290,58 10085191701 Denis
477 5846 124,4 10085606774 Benedita
225 8713 4620,1 10086164783 Igor
338 1251 4208,74 10086218700 Geralda
290 3882 474,64 10086679783 Alexandre
336 4313 3149,73 10086832727 Valeria
288 2198 824,69 10087185725 Valter
370 5815 1380,13 10087192772 Geovana
395 7659 1271,53 10087249715 Nivaldo
246 6589 4416,91 10087552736 Pamela
459 7686 214,29 10087873702 Sebastiao
442 3879 687,06 10088032787 Leila
369 8372 4759,73 10088143775 Wesley
189 4015 3534,52 10088761789 Clara
370 1628 823,55 10088849791 Cristiano
183 3688 696,52 10088991784 Zilda
260 2392 1063,6 10090177720 Ronaldo
189 7875 1076,63 10090274768 Lidiane
431 2455 4113,83 10091017734 Elias
430 2072 694,78 10091367719 Andreia
283 4118 2390,31 10092709745 Vagner
202 4079 2253,14 10093129793 Pamela
219 4734 2184,33 10093958749 Sandro
240 7621 1183,48 10094439761 Janete
179 4741 3963,91 10094513759 Joao
142 2148 3430,9 10095055720 Valeria
207 2321 4095,95 10095222723 Iago
375 3421 2618,75 10095729704 Vanessa
380 7691 1978,48 10096095725 Denis
293 1830 4470,41 10098598708 Amanda
209 6051 3004,35 10099270781 Cleber
393 2664 3372,22 10099329778 Vilma
191 5708 4213,6 10099360772 Vicente
449 7770 4578,56 10100894712 Benedita
271 1912 3881,29 10100925707 Miguel
199 2939 1278,03 10102821747 Daniela
453 8045 3950,44 10103503749 Douglas
300 6997 1303,69 10103910700 Maria
422 6588 254,07 10104399791 Kauan
214 6220 3660,23 10105970786 Simone
349 7178 3879,26 10106016792 Valter
460 6827 352,95 10108076768 Samara
163 6205 1174,29 10109227778 Mauricio
267 5038 4008,52 10109919734 Maiara
264 6621 625,11 10110106741 Marco
427 3900 1975,47 10110485742 Flavia
279 4823 406,41 10110852753 Jonatan
350 3276 1827,09 10111271720 Renata
161 1585 3874,3 10111808715 Rubens
270 6070 892,13 10112494722 Cleide
178 8261 2100,13 10113150768 Daniel
337 6939 2811,57 10113274734 Laura
255 3110 4344,16 10115002723 Daniel
478 7156 3511,99 10115030778 Bianca
424 6853 1501,77 10115408789 Weslei
353 1577 2747,42 10115838791 Joana
164 2479 2206,21 10115849726 Vitor
343 5661 4295,84 10116052791 Iara
145 8014 2461,66 10116095768 Thiago
255 3723 4649,78 10116219750 Dalva
273 7867 2391,63 10116356740 Elias
169 3485 2494,21 10116591749 Janaina
156 4868 1067,59 10117555720 Jairo
453 8007 471,24 10119739798 Zilda
201 2789 4670,3 10119949768 Ruan
427 7160 1200,79 10121498700 Lurdes
223 2072 1723,22 10122150759 Alison
168 5956 4946,55 10126486727 Marina
385 5903 3204,24 10126887713 Everton
320 6682 565,15 10127798749 Bianca
434 5442 665,32 10128022728 Sandro
189 1550 1267,3 10128190787 Beatriz
200 3066 1141,22 10128608765 Denilson
309 3968 1853,31 10128840749 Fatima
276 2131 1458,59 10128900741 Fernando
145 2793 1267,05 10129663727 Pamela
343 4813 848,64 10129979791 Edilson
358 4598 2680,56 10130381772 Debora
272 2569 722,32 10131167715 Augusto
204 5475 4618,31 10132457504 Leila
353 5001 1721,89 10132692767 Wanderson
449 1370 3636,27 10133186768 Nair
256 4632 3760,15 10133704734 Alex
172 2233 3016,79 10135356776 Roberta
359 5914 236,3 10136427758 Nelson
318 4116 804,18 10136878768 Jaqueline
468 7871 4798,76 10136940749 Nicolas
362 1792 2701,98 10138072787 Lucia
319 8284 4543,08 10138501734 Rodrigo
212 7087 3233,71 10138747733 Daniele
425 3460 3419,73 10139052704 Ailton
424 6282 883,36 10139235701 Antonia
458 3077 773,57 10139516700 Agnaldo
341 4181 4023,36 10140533745 Tainara
302 2489 2266,7 10141381752 Renato
370 8437 3704,5 10141787708 Fernanda
221 3560 4464,24 10142185787 Agnaldo
192 1567 632,39 10142311758 Sara
153 4315 719,23 10143424734 Reginaldo
291 8381 3923,12 10143687743 Lucilene
456 7735 552,82 10143752740 Italo
401 7166 1242,24 10144094703 Veronica
185 8776 710,84 10144099772 Cleber
322 7538 3657,82 10144129787 Sabrina
318 5582 2373 10144200759 Moises
444 5668 2181,1 10144915766 Roberta
448 1789 2429,8 10145767760 Claudinei
162 7785 4383,56 10145871746 Flavia
149 5602 4369,65 10146194756 Vicente
468 4897 1265,47 10146471776 Fabiana
415 5674 2993,39 10147462720 Osmar
413 2379 1692 10147748704 Teresinha
226 2961 3359,4 10148388787 Samuel
310 6571 4624,81 10148515720 Iraci
385 6442 278,46 10150130740 Renato
427 6588 2844,22 10151387729 Sara
350 6446 326,48 10152210768 Julio
282 5507 2050,94 10153990708 Franciele
466 4361 580,79 10154894788 Emanuel
355 7446 1018,76 10156178753 Francisca
282 2241 4948,65 10156486733 Jailson
267 8692 2675,65 10156700751 Fabiana
198 5345 2861,34 10157482790 Cicero
216 6226 2895,5 10160256100 Rosane
409 4188 4522,38 10160418704 Vicente
292 3447 3838,32 10160924740 Giovana
286 4233 4276,46 10161562787 Marcelo
223 1603 3359,43 10161686753 Isabela
248 2656 798,82 10162302738 Wellington
142 5971 3221,97 10164392882 Terezinha
333 5352 895,6 10166550701 Jair
212 6032 3160,89 10167584723 Marisa
342 2835 3990,32 10168297795 Helio
233 5534 2658,79 10168411750 Selma
328 7739 4833,26 10168477777 Pedro
146 3354 4260,08 10168512785 Vilma
460 4839 2638,34 10169835731 Alessandro
274 5230 1623,51 10171629728 Sueli
288 3464 379,86 10175354774 Felipe
391 6015 4334,68 10176983767 Eva
326 8071 1946,29 10178776700 Geraldo
361 1561 1954,39 10184118794 Isadora
373 7315 4773,26 10184608708 Edson
417 2607 1063,29 10184967775 Aline
259 2803 4248,44 10185082793 Michael
348 3798 3504,71 10186695748 Tania
365 2319 4142,46 10186833725 Jonatan
296 2586 3781,34 10187666776 Sandra
474 2307 3606,42 10187792801 Otavio
321 5739 3150,21 10188971785 Renata
303 2097 4417,72 10189917784 Edivaldo
421 3150 1298,98 10190856491 Margarida
372 3567 2415,58 10193689774 Ailton
441 3648 1681,54 10194150100 Milena
443 5978 1113,02 10195266706 Thiago
382 5262 3783,69 10196228735 Poliana
156 3307 1048,53 10196271746 Felipe
444 3285 1401,29 10197887716 Aparecida
262 7177 693,45 10198772785 Paulo
252 2227 1075,14 10200139746 Lilian
170 4084 462,79 10201042797 Michel
229 8050 3505,42 10201179741 Adriana
343 6049 1003,33 10201277751 Carlos
178 5484 2640,14 10201434792 Vilma
414 1507 1541,18 10202023788 Severino
436 7016 3163,91 10203699149 Valeria
230 4249 160,94 10203795709 Osmar
303 7485 1838,13 10204155762 Carolina
473 3058 4386,75 10205227716 Danilo
194 1473 151,3 10206327714 Sonia
301 8024 2492,79 10206698704 Jorge
179 5420 3016,25 10209333723 Iracema
404 2248 187,02 10209728744 Odair
437 6974 268,74 10209952709 Yasmin
406 2965 2503,31 10210918713 Michel
208 8341 3949,29 10211244783 Natalia
245 2277 2777,69 10211257761 Alessandro
420 1391 1350,65 10212660780 Benedita
234 2117 3512,39 10213007720 Agnaldo
140 1397 1892,6 10213591731 Daniele
367 4684 2176,3 10215964772 Guilherme
325 5311 1558,24 10216745837 Alexandra
222 3870 401,91 10216790700 Iago
405 6731 586,93 10217010768 Luiza
198 3132 3331,34 10217185720 Manuel
289 8392 613,15 10218786778 Geralda
195 5998 2465,37 10219080704 Igor
155 8360 4669,9 10219094756 Jaqueline
279 6530 3989,48 10220066736 Denilson
362 7675 3378,43 10220334765 Sandra
367 7855 1762,01 10220823707 Otavio
186 4708 344,28 10222191708 Luana
165 4953 3449,25 10222790768 Edilson
159 5849 2099,9 10223993735 Sandra
386 5373 1893,98 10224143727 Valdemir
479 1673 3916,66 10224190725 Aparecida
185 2379 104,4 10224327704 Kauan
208 5502 3888,8 10224432753 Lais
449 1235 987,13 10224904787 Victor
328 8575 1133,63 10224980700 Pamela
441 8641 1313,05 10225129787 Felipe
308 5569 4430,84 10225144743 Cleonice
361 1404 3181,53 10225186748 Joao
191 6533 3685,92 10225341735 Nicole
312 4316 3013,56 10228390710 Valdemar
231 3101 4779,85 10229917798 Pamela
346 7200 3832,29 10231978715 Bruno
169 5866 2751,03 10232067732 Milena
173 3672 1080,81 10233049703 Evandro
401 3220 4552,63 10233997768 Rita
417 4229 901,15 10234253789 Edvaldo
143 1957 3969,04 10234620790 Iraci
271 6444 3966,15 10236335740 Pedro
250 6519 479,41 10236415778 Celia
438 3735 3748,02 10236591746 Felipe
351 1534 2722,87 10236987739 Rosangela
295 2283 288,32 10237097753 Valdecir
249 1438 1579,42 10237216868 Angelica
200 5241 4480,26 10237343703 Erick
146 2582 2567,2 10237379732 Elizabete
190 1899 2504,81 10237453720 Mauro
379 7101 249,71 10239833708 Priscila
467 8256 4251,39 10240241720 Wellington
442 2418 4071,47 10240454553 Ester
167 8360 2384,06 10240500768 Adriano
453 2075 859,32 10240745795 Liliane
274 3949 585,57 10241021731 Samuel
183 8079 3336,33 10241360781 Ana
357 1852 3453,28 10242136761 Rogerio
289 6882 4938,89 10242457134 Francisca
372 7738 3831,82 10242486746 Mateus
437 1644 4494,64 10242527876 Naiara
405 2821 1724,46 10242961720 Antonio
178 7826 793,11 10244330727 Marlene
256 2327 3136,49 10244484791 Domingos
360 7284 3276,33 10244620725 Josiane
197 7259 996,76 10245549706 Vinicius
396 8290 948,81 10245626700 Jaqueline
142 7141 749,08 10246205733 Odair
356 3525 1089,61 10246373792 Vitoria
163 4034 1468,4 10247068772 Renato
210 7267 1787,66 10247432768 Valeria
439 3302 4216,91 10247670782 Matheus
353 1759 346,93 10247835706 Vera
313 3956 1806,76 10250990792 Pedro
246 8631 4791,35 10251774791 Daniele
426 2512 2702,18 10251921760 Arlindo
478 2522 3284,89 10251942767 Rosangela
342 1485 309,39 10251962792 Orlando
185 6642 346,08 10252282787 Terezinha
370 4047 2196,93 10252673700 Vanderlei
396 8375 4788,15 10252711734 Flavia
246 6016 219,95 10252851749 Denilson
393 3865 984,45 10253238749 Vilma
169 6369 759,97 10253432715 Alexandre
147 5200 1162,28 10253572720 Katia
434 3643 371,9 10253707757 Jose
174 8219 275,91 10254013791 Angela
164 7872 3768,11 10254589740 Denilson
445 5199 2045,69 10254730787 Vera
178 6163 2613,87 10255281749 Arthur
175 1476 4918,43 10255289723 Sueli
198 4513 1342,01 10255293755 Fabricio
428 7817 3010,57 10256180768 Brenda
390 3450 1175,03 10256410780 Helio
302 2756 3807,37 10258278722 Fatima
334 6922 1735,05 10258655704 Arlindo
219 1526 978,94 10259031704 Lilian
340 4326 1210,36 10259199710 Joao
365 1311 4525,5 10259538787 Cristina
261 4393 3179,16 10260551724 Damiao
140 7798 3549,44 10260846791 Luzia
249 2742 2771,5 10261122738 Yuri
241 4263 4282,47 10261602780 Ester
258 1536 3274,59 10262016753 Sandro
182 3637 2677,31 10263112764 Nicole
152 3732 2896,35 10263133761 Douglas
372 1742 4302,71 10263274748 Lucia
457 2998 617,67 10263936716 Diego
178 5743 2949,72 10264078772 Selma
289 4549 1388,25 10264137701 Cleiton
319 3570 2687,18 10264167791 Beatriz
377 2941 3764,83 10265188733 Breno
291 7510 1940,9 10266730701 Kelly
423 5463 3425,4 10267867700 Paulo
465 2574 2433,11 10268186723 Sheila
355 8702 467,85 10268244782 Leonardo
267 4043 4301,83 10268917795 Elaine
371 8391 4033,71 10270280715 Marcos
349 7129 3858,68 10270680730 Severina
467 4487 4099 10270906720 Cristiano
303 8479 1993,28 10272232734 Cleide
283 1987 3099,03 10272440760 Ruan
331 6269 2673,49 10273558706 Daniele
276 6808 574,61 10273559788 Augusto
362 3109 4920,47 10274185709 Nair
355 5246 3018,05 10274338718 Cicero
382 2822 2613,55 10275120708 Regina
381 6557 689,64 10275860744 Jairo
176 5474 4325,86 10276084772 Angela
414 7868 1723,34 10276273745 Moacir
277 7642 128,18 10276323785 Joice
347 2013 4541,29 10276463790 Nilson
380 8213 1325,2 10276942760 Luiza
261 6636 4706,76 10277300789 Nelson
462 6085 3522,39 10277841780 Isabel
385 5558 4241,51 10278435734 Evandro
230 2642 129,81 10278605753 Julia
296 8163 3602,91 10278744796 Jonas
409 6895 4850,21 10279482787 Luana
467 2638 4780,88 10281401772 Augusto
414 7426 2415,25 10281541787 Jaqueline
265 2566 3514,05 10282118721 Arlindo
298 5615 4953,08 10282580700 Edna
444 4365 4758,35 10283132760 Adriano
405 5985 808,03 10283811749 Leticia
283 5868 3397,81 10284825743 Adilson
300 6246 2507,99 10285055747 Sebastiana
371 7949 3916,95 10285232703 Diego
183 6043 3400,54 10286420759 Severina
428 6035 3059,19 10286640791 Jonas
396 8064 4343,72 10286659700 Benedita
229 6478 237,27 10286911736 Cristian
347 8215 1299,5 10287823733 Benedita
245 3046 4898,61 10288357795 Thiago
169 8654 1525,84 10290308712 Tamires
141 1872 1808,64 10290479797 Jaime
215 3845 2152,78 10290662800 Viviane
441 3667 401,35 10290768713 Luiz
419 3719 4108,43 10291403751 Beatriz
286 3419 3606,48 10291463738 Sergio
358 3632 3803,82 10292071191 Lucilene
379 7184 1767,81 10293123705 Anderson
237 1703 2099,35 10295357797 Leila
254 1380 2090,89 10295534168 Claudio
335 7955 2714,6 10296210714 Leticia
259 1352 3555,55 10296554723 Maicon
394 8585 1988,26 10297013777 Isabela
305 2768 4311,57 10297820672 Maicon
278 7834 4127,57 10298276720 Marta
461 6507 1348,28 10299492710 Aparecido
203 4547 3388,7 10299655792 Geovana
452 6033 2965,64 10300656750 Henrique
471 6922 3216,38 10300717725 Bruna
182 2135 3523,62 10302302778 Cleiton
179 4585 1991,54 10303789751 Raiane
467 4680 1587,73 10303832789 Arlindo
320 4582 1374,03 10305338730 Marlene
232 5142 2143,41 10306164779 Igor
249 5161 1638,28 10308426711 Tamires
225 1324 4092,48 10309021782 Adriano
140 1908 1635,34 10310246709 Flavia
290 2354 1083,57 10310520703 Julio
140 4804 3698,11 10311739784 Kelly
363 4945 4875,01 10313127735 Nicolas
329 6783 3342,87 10314283722 Aline
372 5080 1801,07 10314350772 Elton
220 8423 4076,14 10314433716 Gisele
394 4042 3351,41 10316949787 Marlon
187 2521 1937,14 10317023691 Edna
148 1597 3317,52 10317767704 Wanderson
449 2034 4247,59 10318183757 Jaqueline
204 5291 762,76 10318315769 Sidnei
315 3868 3933,85 10318747715 Celia
244 1399 3181,78 10318917734 Valdemar
384 7919 4708,78 10319086763 Cleide
436 6727 845,99 10319212734 Murilo
355 5203 2858,02 10320008720 Erica
168 5458 1825,14 10320362736 Caua
197 8315 4256,24 10320627705 Liliane
217 6675 3558,88 10320970787 Pedro
147 7803 3946,95 10321098749 Antonia
405 4917 3335,38 10321101472 Claudinei
240 4955 2815,25 10321651707 Rosane
302 4643 2110,3 10321957709 Claudio
157 3202 2362,31 10322191734 Marina
258 3434 2034,35 10322565758 Arthur
406 4071 385,4 10322841704 Tereza
384 4273 1645,29 10323376720 Caio
430 6558 3583,78 10323921779 Naiara
422 6912 4757,54 10324810725 Osvaldo
471 3959 4715,61 10324867751 Vera
227 7920 3449,79 10325607702 Wellington
381 6820 3355,39 10325801789 Cristina
270 4809 529,55 10327390700 Alex
394 7742 2735,34 10328360759 Marilene
472 5462 2557,66 10328432768 Jonatan
242 7309 918,14 10328992712 Larissa
393 2456 3571,91 10330051776 Nelson
155 6828 2958,06 10330853759 Luciana
238 1737 1807,28 10332030768 Joao
152 8661 1912,52 10332512754 Marinalva
400 7788 780,79 10333450752 Gerson
211 6675 3821,3 10333509749 Daniela
179 5942 1861,22 10333597770 Diego
268 3707 3961,01 10334700744 Janete
331 1608 3131,46 10334705703 Denilson
382 2297 3371,02 10335936725 Aparecida
422 2077 2738,18 10336108796 Elton
285 1826 3400,99 10336419791 Elizabete
309 1925 3024,34 10336761791 Fabiano
261 3833 3516,05 10336923791 Isabela
383 5285 1431,57 10337717753 Rian
439 6275 2810,52 10337983712 Marcia
439 5026 2001,27 10338156755 Rogerio
189 5319 4310,43 10338993720 Cicera
478 6869 4093,12 10339108720 Renan
439 7972 4776,71 10339787791 Marlene
478 7170 2102,51 10340077778 Renato
369 4746 3614,5 10340252790 Gabriela
240 8671 3197 10341321729 Arlindo
248 5991 690,37 10341531707 Clara
450 3210 725,2 10342729772 Willian
182 7233 4031,4 10342928708 Marli
338 8148 1063,84 10343401746 Claudio
408 2181 3946,31 10343537729 Franciele
411 3009 2510,6 10343733749 Cristiano
477 6162 1248,07 10343873753 Eduarda
266 3662 153,43 10344853772 Rafael
377 4949 1916,23 10345191749 Edna
172 2582 4819,99 10349258732 Rafael
393 3796 4175,14 10350017727 Teresinha
237 6450 3126,42 10350433780 Natanael
214 6381 3911,06 10351271724 Franciele
158 8503 3691,3 10351434704 Diego
468 8012 283,48 10352094702 Eliane
274 7121 4114,43 10352309768 Ruan
237 4169 971,3 10352560703 Vera
419 4440 4818,06 10354560794 Ricardo
439 5031 1386,76 10354966740 Andreia
305 1862 4354,42 10355111772 Valmir
386 8041 663,49 10356614700 Celia
184 3650 2644,03 10358170710 Murilo
230 4863 3624,61 10358217709 Roseli
355 7046 4238,18 10361650787 Gilmar
206 7168 1939,72 10362259763 Daniele
239 6362 2880,11 10362754772 Marcelo
276 4981 147,83 10362851700 Janaina
439 4119 840,65 10363289704 Ailton
406 8606 4684,76 10363367780 Ivonete
274 5684 4872,98 10366403702 Marlon
466 1422 3859,49 10368687708 Ester
212 5978 3849,02 10369364732 Odair
386 6646 3638,7 10369450736 Iracema
236 4605 3270,36 10369677781 Alison
259 4559 556,24 10371604796 Vitoria
140 2343 627,16 10373808780 Henrique
342 8362 4511,18 10373834780 Franciele
200 6880 2892,54 10375047719 Marcos
283 5626 2427,16 10375544771 Tania
277 7737 4162,43 10376373725 Mauro
298 2640 3559,03 10376881712 Carolina
389 5878 1979,97 10377719749 Maicon
371 1496 3801,57 10378812734 Lilian
273 4485 3849,37 10379197774 Vagner
333 2104 2114,32 10379335751 Geovana
221 4260 1647,83 10379584700 Italo
316 3368 612,59 10379959704 Cintia
373 3660 2054,89 10380648725 Douglas
286 4634 2612,41 10383336791 Beatriz
265 7138 980,16 10384267742 Matheus
398 5580 4842,21 10385895763 Andrea
239 1753 1720,31 10386148724 Jairo
194 2323 1587,5 10386164762 Clara
337 4531 4314,23 10386653704 Alessandro
217 4292 2368,53 10386980730 Raimunda
144 7375 335,53 10387650725 Wilson
450 7446 2704,55 10388375701 Elizabete
142 2606 1134,35 10388901799 Emerson
220 2045 2601,29 10392068753 Taina
476 3082 141,79 10392108720 Flavio
410 1762 471,39 10392220725 Angela
433 6697 454,06 10392998734 Cleiton
229 1886 1247,97 10393318745 Ivone
346 6636 2558,91 10393323749 Joel
360 8485 690,23 10393667758 Priscila
383 3951 2351,07 10393730700 Gilmar
317 7767 1782,28 10395741734 Dalva
420 8135 4725,75 10396189792 Alessandro
265 2272 2557,3 10397170718 Iraci
170 7368 3726,63 10397264704 Cesar
391 6699 4615,46 10397392702 Lorena
476 5311 1387,41 10398446776 Moises
439 5035 846,24 10398709700 Neuza
285 6200 2732,36 10405558708 Andre
142 4957 3385,28 10406425787 Isabel
394 6790 4422,77 10407778721 Vinicius
254 7661 3637,54 10409687758 Rita
262 7059 532,53 10410386740 Marcos
176 1885 447,21 10411801368 Ana
470 6602 4422,69 10411969706 Antonio
353 7830 4232,6 10413401685 Lara
192 8262 1106,26 10413918700 Fabio
456 2329 1770,06 10414258720 Raimunda
322 4967 1454,83 10414718747 Miguel
241 4546 4577,43 10415257700 Livia
473 3861 2129,04 10416555764 Hugo
422 7652 4064,96 10416644864 Adriana
198 4392 2413,72 10417142706 Edmilson
304 7492 2515,95 10418478740 Larissa
194 7341 3551,19 10418704775 Edmilson
448 5927 2882,76 10419060723 Lara
153 4702 2981,52 10419486704 Arlindo
328 7689 1369,84 10420009728 Karina
245 2395 4575,94 10422460761 Vagner
304 8623 2376,87 10423316770 Luciane
419 4817 4938,7 10423966715 Nilson
382 1491 711,33 10424679787 Denise
231 1455 1584,6 10425855716 Joaquim
326 6579 2211,58 10426957253 Kelly
175 4849 4957,2 10428968287 Joaquim
407 1632 834,67 10430060793 Katia
344 3634 4434,93 10430467710 Kauan
174 2333 3859,7 10431514780 Luana
223 2346 4629,51 10434014745 Valdecir
406 7861 1609,46 10434254703 Cristiane
176 5089 342,72 10434504750 Nicolas
325 1306 3437,11 10437645770 Eduarda
303 1722 4778,99 10438358732 Wilian
332 1539 318,72 10439660726 Elisangela
326 1894 3883 10441468420 Diego
423 8391 1343,04 10441644767 Marta
350 6628 789,77 10444415777 Joel
405 6991 2425,51 10445089733 Marli
259 4013 4965,57 10445693878 Roberto
356 8550 2575,73 10445781734 Aparecida
158 5661 1886,52 10447901729 Nilson
360 2565 3325,35 10448396785 Neide
412 1320 4241,99 10448505746 Gustavo
336 1481 4063,25 10450108716 Rosane
442 6134 1052,32 10452552702 Antonio
364 6061 4978,2 10452661757 Luciene
454 7379 3370,86 10453251714 Luan
175 5667 3186,28 10453849687 Geovana
240 6691 3641,26 10454639732 Moacir
236 3888 3584,59 10455927731 Viviane
